install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;
6072;8704;1369;608;580;
5815;8551;1369;608;580;
5772;8123;1369;608;580;
6237;7802;1369;608;580;
5991;8343;1369;608;580;
5763;8275;1369;608;580;
6415;8424;1369;608;580;
6067;8206;1369;608;580;
5647;8127;1369;608;580;
5803;8027;1369;608;580;
5784;8161;1369;608;580;
6107;8193;1369;608;580;
5753;8346;1369;608;580;
5866;8170;1369;608;580;
5846;8302;1369;608;580;
5601;8392;1369;608;580;
5523;7928;1369;608;580;
5585;8076;1369;608;580;
5804;8222;1369;608;580;
6027;8953;1369;608;580;
6044;8092;1369;608;580;
5567;8096;1369;608;580;
5732;8087;1369;608;580;
6049;8089;1369;608;580;
5676;8046;1369;608;580;
5787;8193;1369;608;580;
6158;8157;1369;608;580;
5707;8136;1369;608;580;
5625;8249;1369;608;580;
6739;8822;1369;608;580;
6120;8411;1369;608;580;
5847;8374;1369;608;580;
6394;8321;1369;608;580;
5809;8368;1369;608;580;
5703;8480;1369;608;580;
5969;8328;1369;608;580;
6110;8283;1369;608;580;
5941;8368;1369;608;580;
6258;8335;1369;608;580;
5966;8094;1369;608;580;
5468;8191;1369;608;580;
5431;7936;1369;608;580;
5468;8334;1369;608;580;
6004;7887;1369;608;580;
5901;8286;1369;608;580;
6182;8273;1369;608;580;
5703;8637;1369;608;580;
5624;8153;1369;608;580;
5483;8214;1369;608;580;
5526;7997;1369;608;580;
5499;7948;1369;608;580;
5750;8166;1369;608;580;
5720;8066;1369;608;580;
5936;8073;1369;608;580;
6689;8185;1369;608;580;
5456;8190;1369;608;580;
5425;7832;1369;608;580;
5615;8083;1369;608;580;
6066;8560;1369;608;580;
6131;8713;1369;608;580;
5712;8458;1369;608;580;
5855;8314;1369;608;580;
6439;7893;1369;608;580;
6023;8348;1369;608;580;
5892;8600;1369;608;580;
6025;8190;1369;608;580;
5834;8301;1369;608;580;
5721;8229;1369;608;580;
5902;8058;1369;608;580;
5859;8234;1369;608;580;
6546;8719;1369;608;580;
5405;8224;1369;608;580;
5784;8322;1369;608;580;
5686;8537;1369;608;580;
5610;8226;1369;608;580;
6289;7981;1369;608;580;
5958;8159;1369;608;580;
6052;8596;1369;608;580;
6117;8248;1369;608;580;
5826;8561;1369;608;580;
5769;8347;1369;608;580;
5879;8274;1369;608;580;
6006;8143;1369;608;580;
5984;8278;1369;608;580;
6392;8753;1369;608;580;
6345;8421;1369;608;580;
5951;8285;1369;608;580;
6052;8135;1369;608;580;
6270;8653;1369;608;580;
6534;8693;1369;608;580;
5990;8213;1369;608;580;
6012;8528;1369;608;580;
6098;8418;1369;608;580;
5856;8492;1369;608;580;
6796;8907;1369;608;580;
7356;9850;1369;608;580;
5931;8271;1369;608;580;
5571;8575;1369;608;580;
6044;8652;1369;608;580;
6144;8541;1369;608;580;
6108;8248;1369;608;580;
6014;8478;1369;608;580;
6140;8303;1369;608;580;
5992;8115;1369;608;580;
6028;8183;1369;608;580;
6140;8459;1369;608;580;
6325;8699;1369;608;580;
6815;8664;1369;608;580;
6148;8463;1369;608;580;
5755;8224;1369;608;580;
6073;8282;1369;608;580;
5558;8567;1369;608;580;
5673;8065;1369;608;580;
5679;8252;1369;608;580;
6535;8718;1369;608;580;
6205;8722;1369;608;580;
5933;8113;1369;608;580;
6211;8580;1369;608;580;
5741;8507;1369;608;580;
6448;8504;1369;608;580;
5708;8829;1369;608;580;
6117;8209;1369;608;580;
5875;8289;1369;608;580;
5839;8552;1369;608;580;
5671;8158;1369;608;580;
6209;8287;1369;608;580;
6189;8775;1369;608;580;
6001;8729;1369;608;580;
6298;8395;1369;608;580;
5974;8594;1369;608;580;
5772;8480;1369;608;580;
6065;8461;1369;608;580;
6045;8578;1369;608;580;
6361;8625;1369;608;580;
6581;8517;1369;608;580;
5920;8517;1369;608;580;
5769;8495;1369;608;580;
5823;8324;1369;608;580;
5873;8513;1369;608;580;
5861;8532;1369;608;580;
6073;8688;1369;608;580;
5488;8146;1369;608;580;
