svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;angular-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;angular-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size;angular-build-size
;;;;;;;;1514;5635;8170;4929;19140;7257;6982;24822;28;124;548;164;396;684;184;204
;;;;;;;;1480;5633;8041;4847;18812;7218;6869;25212;28;124;548;164;396;684;184;204
;;;;;;;;1451;5636;7966;4707;18618;7273;6934;24934;28;124;548;164;396;684;184;204
;;;;;;;;1479;5568;7867;4761;18633;7169;6970;24524;28;124;548;164;396;684;184;204
;;;;;;;;1455;5328;7973;4748;18853;7203;7042;24895;28;124;548;164;396;684;184;204
;;;;;;;;1446;5376;8236;4885;18947;7314;7466;24589;28;124;548;164;396;684;184;204
;;;;;;;;1449;5677;7945;4942;19606;7378;7049;24405;28;124;548;164;396;684;184;204
;;;;;;;;1416;5154;7814;4709;18970;6985;7015;24581;28;124;548;164;396;684;184;204
;;;;;;;;1462;5614;8117;4773;19149;7215;7140;24257;28;124;548;164;396;684;184;204
;;;;;;;;1401;5300;7701;4724;19309;7234;7227;23832;28;124;548;164;396;684;184;204
;;;;;;;;1464;5445;7849;4754;18785;7170;6806;24898;28;124;548;164;396;684;184;204
;;;;;;;;1381;5460;7947;4792;18918;7169;7072;25046;28;124;548;164;396;684;184;204
;;;;;;;;1526;5680;8157;4860;19702;7315;7245;24778;28;124;548;164;396;684;184;204
;;;;;;;;1430;5633;7988;4955;19502;7265;7083;24641;28;124;548;164;396;684;184;204
;;;;;;;;1425;5391;8106;4812;19186;7215;7239;24623;28;124;548;164;396;684;184;204
;;;;;;;;1564;5816;8086;4933;19231;7390;7129;24587;28;124;548;164;396;684;184;204
;;;;;;;;1400;5479;7819;4717;18671;7370;6983;24738;28;124;548;164;396;684;184;204
;;;;;;;;1331;5343;8151;4850;18015;7170;7144;24297;28;124;548;164;396;684;184;204
;;;;;;;;1481;5773;7880;4801;18745;7231;7118;25004;28;124;548;164;396;684;184;204
;;;;;;;;1518;6068;8349;5094;19943;7141;7372;25758;28;124;548;164;396;684;184;204
;;;;;;;;1456;5636;8055;4864;19042;6976;7178;25599;28;124;548;164;396;684;184;204
;;;;;;;;1449;5486;8020;4903;18684;7132;7674;24739;28;124;548;164;396;684;184;204
;;;;;;;;1461;5655;8233;4937;18950;7362;7020;24809;28;124;548;164;396;684;184;204
;;;;;;;;1471;5463;8000;4664;19121;7405;6706;24519;28;124;548;164;396;684;184;204
;;;;;;;;1395;5751;8107;4950;18752;7166;6988;25049;28;124;548;164;396;684;184;204
;;;;;;;;1430;5321;7914;5088;18238;7399;7049;24312;28;124;548;164;396;684;184;204
;;;;;;;;1437;5532;8113;4778;18703;6953;6738;24361;28;124;548;164;396;684;184;204
;;;;;;;;1516;5582;7901;4822;18197;7140;7000;24920;28;124;548;164;396;684;184;204
;;;;;;;;1425;5402;7827;4941;18414;6989;6746;24957;28;124;548;164;396;684;184;204
;;;;;;;;1436;5590;8241;4981;18820;7376;7256;25390;28;124;548;164;396;684;184;204
;;;;;;;;1406;5444;7953;4659;18924;7210;6961;24982;28;124;548;164;396;684;184;204
;;;;;;;;1439;5696;8143;4882;19015;7125;6999;24657;28;124;548;164;396;684;184;204
;;;;;;;;1447;5372;7991;4945;18890;7164;7138;24029;28;124;548;164;396;684;184;204
;;;;;;;;1534;5420;8051;5294;18338;7251;6982;24210;28;124;548;164;396;684;184;204
;;;;;;;;1459;5421;8191;4728;18563;7237;6972;23587;28;124;548;164;396;684;184;204
;;;;;;;;1513;5647;7950;4859;18519;6928;6635;24162;28;124;548;164;396;684;184;204
;;;;;;;;1459;5482;7760;4599;19190;7143;6763;24363;28;124;548;164;396;684;184;204
;;;;;;;;1447;5604;8183;4876;18687;7099;7191;24346;28;124;548;164;396;684;184;204
;;;;;;;;1425;5568;8000;4861;19621;7426;7187;25076;28;124;548;164;396;684;184;204
;;;;;;;;1504;5526;8145;4766;18567;6806;6817;24264;28;124;548;164;396;684;184;204
;;;;;;;;1382;5530;7922;4813;18760;7133;7155;24530;28;124;548;164;396;684;184;204
;;;;;;;;1508;5438;8169;4920;18672;7042;7197;25320;28;124;548;164;396;684;184;204
;;;;;;;;1420;5493;8162;4754;18624;7019;6701;24596;28;124;548;164;396;684;184;204
;;;;;;;;1463;5452;8113;4743;18649;7288;7031;24237;28;124;548;164;396;684;184;204
;;;;;;;;1487;5702;8037;4733;19363;7177;6875;24072;28;124;548;164;396;684;184;204
;;;;;;;;1523;5539;8022;4925;19144;7321;7042;24362;28;124;548;164;396;684;184;204
;;;;;;;;1434;5609;8147;4956;18871;7269;7160;24807;28;124;548;164;396;684;184;204
;;;;;;;;1481;5628;7989;4779;18534;7128;7017;24511;28;124;548;164;396;684;184;204
;;;;;;;;1520;5515;8061;4868;19178;7257;7412;24661;28;124;548;164;396;684;184;204
;;;;;;;;1418;5456;8279;4838;18809;6950;7122;24793;28;124;548;164;396;684;184;204
;;;;;;;;1453;5630;8052;4872;18682;7296;7028;24486;28;124;548;164;396;684;184;204
;;;;;;;;1461;5536;8167;4834;19424;7313;7032;25241;28;124;548;164;396;684;184;204
;;;;;;;;1502;5616;8033;5043;18864;7272;7186;25289;28;124;548;164;396;684;184;204
;;;;;;;;1567;5466;7860;4724;19391;7106;7214;24314;28;124;548;164;396;684;184;204
;;;;;;;;1420;5566;7892;4896;18816;7357;7222;24221;28;124;548;164;396;684;184;204
;;;;;;;;1506;5628;8159;4960;18940;7439;7180;25626;28;124;548;164;396;684;184;204
;;;;;;;;1463;5665;8209;5035;18654;7709;6972;24390;28;124;548;164;396;684;184;204
;;;;;;;;1501;5573;8256;4908;19230;7440;7272;25267;28;124;548;164;396;684;184;204
;;;;;;;;1534;5779;8131;4861;19295;7236;7182;25055;28;124;548;164;396;684;184;204
;;;;;;;;1446;5542;8042;4834;18736;7227;7145;24771;28;124;548;164;396;684;184;204
;;;;;;;;1443;5467;7993;4914;18872;7133;7021;24073;28;124;548;164;396;684;184;204
;;;;;;;;1424;5686;8050;4803;18776;7228;7038;24883;28;124;548;164;396;684;184;204
;;;;;;;;1440;5567;7924;4871;18500;7318;6934;24354;28;124;548;164;396;684;184;204
;;;;;;;;1525;5514;8115;5534;19408;7350;7021;24697;28;124;548;164;396;684;184;204
;;;;;;;;1458;5575;8057;4824;18815;7148;7077;24083;28;124;548;164;396;684;184;204
;;;;;;;;1458;5578;7950;4858;19666;7184;6979;24673;28;124;548;164;396;684;184;204
;;;;;;;;1450;5498;8130;4949;19396;7213;7073;24780;28;124;548;164;396;684;184;204
;;;;;;;;1404;5606;8203;4874;19616;7293;7183;24368;28;124;548;164;396;684;184;204
;;;;;;;;1436;5463;7902;4873;19053;7578;7167;24660;28;124;548;164;396;684;184;204
;;;;;;;;1547;5462;8050;5008;19725;7301;7378;24620;28;124;548;164;396;684;184;204
;;;;;;;;1439;5558;8103;4839;18608;7163;7043;25386;28;124;548;164;396;684;184;204
;;;;;;;;1493;5456;8168;4804;18537;7271;7137;24998;28;124;548;164;396;684;184;204
;;;;;;;;1434;5483;8158;4797;18911;7400;7191;25064;28;124;548;164;396;684;184;204
;;;;;;;;1461;5568;8139;4770;18894;7260;7031;24691;28;124;548;164;396;684;184;204
;;;;;;;;1479;5559;7879;4942;18696;7426;7102;24882;28;124;548;164;396;684;184;204
