svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit;angular_with_browser_chromium;angular_with_browser_firefox;angular_with_browser_webkit
14744;14112;13435;14233;14131;13658;15373;15357;14837;15326;15267;15244;15368;15188;15148;14085;14607;14358;14755;14553;14598;15482;15373;15305
14564;14228;13978;14598;14418;13892;14899;15283;15097;14923;15281;14902;15498;15456;15236;14552;14452;14570;14271;14673;14598;15404;15485;14741
14516;13880;14056;14462;14223;13949;15269;15238;15360;15355;15344;15302;15346;15369;15345;14308;14241;14248;14479;14405;14522;15377;15522;15333
14089;13999;14392;14102;14123;14128;15183;15212;15095;15099;15149;15383;15335;15388;15345;14167;14518;14686;14611;14682;14530;15355;15284;15261
14152;13878;14080;14303;14165;14130;15165;15184;15209;15322;15106;15252;15406;15439;15398;14549;14358;14624;14659;14414;14447;15537;15506;15418
13172;13316;13991;13885;14032;14164;15206;15202;15234;15326;15223;15406;15371;15397;15284;14697;14360;14623;14794;14568;14225;14754;15301;15476
13711;13997;13858;13981;14063;13282;15297;14872;15490;15355;15112;15007;15184;15415;15362;14630;14463;14578;14597;14696;14660;15410;15513;15398
;14090;14035;14318;14213;14259;15332;15262;15325;15376;15338;15166;15598;15517;15355;14451;14471;14631;14739;14092;14302;15317;15421;15166
14685;14146;14243;14029;14183;14251;15291;15297;15404;15287;15237;15296;15481;15478;15266;14407;14354;14566;14491;14483;14591;15220;15391;15432
14261;13953;14288;14433;14321;14375;15343;15220;15389;15516;15412;15358;15439;15581;15321;14563;14746;14337;14853;14777;14631;15284;15419;15453
14241;14271;14029;14238;14222;14211;15244;15281;15498;15347;15299;15238;15225;15478;15502;14527;14763;14409;14759;14680;14677;15572;15377;15350
14582;14093;14113;14202;14156;14121;15359;15373;15080;15194;15271;15533;15377;15568;15450;14138;14625;14443;14565;14067;14559;15617;15487;15474
14035;14057;14135;14157;13987;14109;15364;15205;15267;15031;15355;15163;15529;15509;15086;14488;13403;14423;13924;14478;14681;15405;15522;15504
15889;13916;14157;14584;14279;14385;15384;15304;14683;15384;15353;14791;15621;15319;15360;14110;14585;14500;14448;14478;14156;15415;15427;15426
14679;14207;13918;14175;14191;14179;14938;15338;15273;15362;15273;15306;15468;15465;15336;14510;14465;14416;14267;14843;14588;15401;15174;15450
14146;14120;14058;14059;14285;14130;15221;15315;15401;15184;15260;15303;15287;15255;15345;14542;14413;14550;14350;14599;14335;15590;15470;15557
14499;14022;14101;14152;13983;14155;15185;15299;15347;15048;15357;15292;15245;15185;15328;14455;14684;14270;14861;14467;14602;15444;15336;15482
14159;13866;13937;14070;14009;14136;15158;15287;15096;15383;15003;15261;15293;15410;15392;14566;14321;14537;14720;14389;14761;15451;15397;15307
