svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;angular-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;angular-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size;angular-build-size
;;;;;;;;927;3535;4980;3182;12000;5094;4622;16880;28;124;548;164;396;684;184;204
;;;;;;;;907;3540;4993;3041;11937;5015;4716;17077;28;124;548;164;396;684;184;204
;;;;;;;;887;3569;5159;3052;12594;5015;4622;17067;28;124;548;164;396;684;184;204
;;;;;;;;882;3540;4951;3258;11957;5057;4605;17422;28;124;548;164;396;684;184;204
;;;;;;;;890;3584;5054;3029;13104;5067;4598;16954;28;124;548;164;396;684;184;204
;;;;;;;;892;3525;4949;3011;12221;5048;4566;16875;28;124;548;164;396;684;184;204
;;;;;;;;922;3505;4936;3036;12713;5089;4514;16918;28;124;548;164;396;684;184;204
;;;;;;;;877;3385;4750;2818;11617;4681;4523;15804;28;124;548;164;396;684;184;204
;;;;;;;;857;3558;4683;2892;11375;4559;4288;15921;28;124;548;164;396;684;184;204
;;;;;;;;867;3316;4716;2896;11912;4795;4796;16076;28;124;548;164;396;684;184;204
;;;;;;;;868;3375;4657;2999;11455;4596;4213;15861;28;124;548;164;396;684;184;204
;;;;;;;;975;3586;4664;2851;11997;4590;4288;15647;28;124;548;164;396;684;184;204
;;;;;;;;878;3372;4682;2896;13784;4496;4244;15692;28;124;548;164;396;684;184;204
;;;;;;;;839;3419;4680;2842;11659;4520;4255;15686;28;124;548;164;396;684;184;204
;;;;;;;;864;3338;4665;2886;11415;4645;4437;15501;28;124;548;164;396;684;184;204
;;;;;;;;895;3329;4684;2884;11359;4644;4310;16115;28;124;548;164;396;684;184;204
;;;;;;;;908;3402;4675;2876;11444;4552;4272;15998;28;124;548;164;396;684;184;204
;;;;;;;;856;3355;4678;2870;11545;4555;4229;15964;28;124;548;164;396;684;184;204
;;;;;;;;847;3377;4818;2859;11470;4604;4273;15752;28;124;548;164;396;684;184;204
;;;;;;;;898;3344;4712;2887;12249;4671;4308;15868;28;124;548;164;396;684;184;204
;;;;;;;;897;3337;4631;2899;11373;4542;4421;15742;28;124;548;164;396;684;184;204
;;;;;;;;860;3410;4637;2881;11487;4532;4440;15945;28;124;548;164;396;684;184;204
;;;;;;;;863;3381;4642;2857;11599;4564;4255;15962;28;124;548;164;396;684;184;204
;;;;;;;;914;3454;4706;2875;11606;4559;4322;15651;28;124;548;164;396;684;184;204
